ProductID,DITAType,FilePath,ValidationStatus,ErrorMessage
X-100,Reference,dita_output/X-100_reference.dita,PASS,
X-100,Concept,dita_output/X-100_concept.dita,PASS,
Z-250,Reference,dita_output/Z-250_reference.dita,PASS,
Z-250,Concept,dita_output/Z-250_concept.dita,PASS,
A-50,Reference,dita_output/A-50_reference.dita,PASS,
A-50,Concept,dita_output/A-50_concept.dita,FAIL,"Error: Build failed with an exception: [DOTJ012F] Failed to parse the input resource '../Smart_DITA_Factory/dita_output/A-50_concept.dita'.: file:/Users/shabhrishreddyuddehal/Downloads/AppliedJobs/Infenion/Smart_DITA_Factory/dita_output/A-50_concept.dita:7:11: The element type ""b"" must be terminated by the matching end-tag ""</b>""."
Y-330,Reference,dita_output/Y-330_reference.dita,PASS,
Y-330,Concept,dita_output/Y-330_concept.dita,PASS,
B-7,Reference,dita_output/B-7_reference.dita,PASS,
B-7,Concept,dita_output/B-7_concept.dita,PASS,
C-990,Reference,dita_output/C-990_reference.dita,PASS,
C-990,Concept,dita_output/C-990_concept.dita,PASS,
X-101,Reference,dita_output/X-101_reference.dita,PASS,
X-101,Concept,dita_output/X-101_concept.dita,PASS,
F-800,Reference,dita_output/F-800_reference.dita,PASS,
F-800,Concept,dita_output/F-800_concept.dita,FAIL,"Error: Build failed with an exception: [DOTJ012F] Failed to parse the input resource '../Smart_DITA_Factory/dita_output/F-800_concept.dita'.: file:/Users/shabhrishreddyuddehal/Downloads/AppliedJobs/Infenion/Smart_DITA_Factory/dita_output/F-800_concept.dita:7:11: The element type ""b"" must be terminated by the matching end-tag ""</b>""."
D-45,Reference,dita_output/D-45_reference.dita,PASS,
D-45,Concept,dita_output/D-45_concept.dita,PASS,
